player_id,player,team,position,minute,location,dribble_outcome
159764,Jorge Ortiz Mendoza,Goa,Center Forward,25,"{86.9,61.8}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,32,"{103.1,59.0}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,39,"{104.7,8.4}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Left Wing,82,"{53.3,27.3}",Complete
159764,Jorge Ortiz Mendoza,Goa,Left Wing,0,"{77.8,4.5}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Left Wing,3,"{97.4,5.5}",Complete
13322,Greg Stewart,Jamshedpur,Right Center Forward,12,"{28.9,37.8}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Left Wing,44,"{81.0,42.4}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Left Wing,48,"{111.2,8.9}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Left Wing,63,"{79.0,19.2}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Forward,12,"{117.2,65.2}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,42,"{100.7,4.2}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,42,"{110.0,16.7}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,46,"{110.7,21.6}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,46,"{115.0,31.9}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Forward,51,"{38.6,17.9}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Forward,51,"{35.8,26.8}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Forward,53,"{57.1,5.4}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,60,"{116.6,20.2}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,60,"{116.1,23.4}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,66,"{50.9,22.3}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Forward,73,"{68.6,32.1}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,15,"{103.4,7.7}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Wing,17,"{70.0,11.4}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Wing,17,"{81.2,5.6}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,42,"{96.9,29.1}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,44,"{110.8,69.0}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,71,"{101.4,32.4}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,84,"{98.2,42.4}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,84,"{102.0,41.1}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Right Center Midfield,3,"{34.4,41.7}",Complete
8150,Francisco Javier Hernández González,Odisha,Right Center Midfield,5,"{93.7,24.0}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Right Center Midfield,19,"{16.0,70.4}",Complete
8150,Francisco Javier Hernández González,Odisha,Right Center Midfield,59,"{59.2,55.2}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,25,"{68.3,25.8}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Forward,22,"{74.2,11.1}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Forward,36,"{107.8,47.5}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Forward,38,"{75.4,58.5}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,82,"{85.2,64.8}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Attacking Midfield,3,"{67.9,60.5}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Attacking Midfield,16,"{69.8,18.7}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Attacking Midfield,16,"{32.9,6.3}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,35,"{33.1,9.2}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Attacking Midfield,39,"{73.3,44.1}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing Back,43,"{100.1,3.7}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,8,"{31.4,13.8}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,37,"{58.1,21.3}",Complete
13322,Greg Stewart,Jamshedpur,Right Center Forward,19,"{100.2,52.3}",Complete
13322,Greg Stewart,Jamshedpur,Right Center Forward,40,"{106.9,15.9}",Complete
13322,Greg Stewart,Jamshedpur,Right Center Forward,40,"{107.8,22.0}",Complete
13322,Greg Stewart,Jamshedpur,Right Center Forward,50,"{83.9,56.6}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,4,"{89.3,24.5}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,63,"{80.1,16.4}",Complete
13322,Greg Stewart,Jamshedpur,Left Center Forward,4,"{102.7,35.2}",Complete
13322,Greg Stewart,Jamshedpur,Left Center Forward,21,"{103.0,59.6}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,44,"{78.3,48.4}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,46,"{63.4,47.2}",Complete
13322,Greg Stewart,Jamshedpur,Left Center Forward,47,"{87.3,75.4}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,55,"{99.3,5.0}",Incomplete
13322,Greg Stewart,Jamshedpur,Right Midfield,81,"{82.8,67.0}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,5,"{105.1,43.4}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,4,"{73.4,38.0}",Complete
8150,Francisco Javier Hernández González,Odisha,Right Center Forward,5,"{81.3,56.0}",Complete
8150,Francisco Javier Hernández González,Odisha,Right Center Forward,13,"{73.6,32.4}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,13,"{73.4,39.7}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,35,"{64.6,36.5}",Complete
8150,Francisco Javier Hernández González,Odisha,Right Center Forward,38,"{71.3,52.8}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Right Center Forward,46,"{34.5,50.0}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Right Center Forward,49,"{92.3,63.4}",Complete
8150,Francisco Javier Hernández González,Odisha,Right Center Forward,89,"{90.6,28.7}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Wing,47,"{68.8,20.8}",Incomplete
13322,Greg Stewart,Jamshedpur,Left Center Forward,55,"{53.3,48.7}",Complete
13322,Greg Stewart,Jamshedpur,Left Center Forward,68,"{106.1,76.7}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,72,"{64.2,35.0}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,93,"{105.1,9.3}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,97,"{102.1,32.2}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,3,"{69.0,4.3}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,7,"{86.5,56.9}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,23,"{66.1,67.8}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,27,"{83.5,37.6}",Complete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,47,"{25.6,26.7}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,47,"{117.3,7.0}",Complete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,56,"{100.7,2.5}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,64,"{70.9,27.7}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,20,"{112.3,67.7}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,20,"{113.6,55.3}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,24,"{99.3,20.7}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,54,"{99.5,9.4}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,57,"{84.9,17.2}",Incomplete
