,Player▲,Squad,90s,Gls,Ast,G+A,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90
478,Kiko Casilla,Elche,14.0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01
479,Moreto Cassamã,Reims,8.9,2,0,0.22,1.1,1.1,0.5,1.6,0.12,0.06,0.18,0.12,0.18
480,Francesco Cassata,Genoa,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Timothy Castagne,Leicester City,23.6,1,0,0.04,0.8,0.8,1.3,2.1,0.03,0.05,0.09,0.03,0.09
482,Koen Casteels,Wolfsburg,28.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,Jean-Charles Castelletto,Nantes,27.9,1,0,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05
484,Samu Castillejo,Milan,1.4,0,0,0.0,0.1,0.1,0.2,0.3,0.08,0.13,0.21,0.08,0.21
485,Gonzalo Castro,Arminia,4.8,1,1,0.41,0.6,0.6,0.3,0.9,0.13,0.06,0.19,0.13,0.19
486,Jonny Castro,Wolves,11.4,2,0,0.18,0.8,0.8,1.2,2.0,0.07,0.1,0.17,0.07,0.17
487,Gaetano Castrovilli,Fiorentina,15.5,1,1,0.13,1.2,1.2,1.6,2.8,0.08,0.1,0.18,0.08,0.18
488,Danilo Cataldi,Lazio,19.0,1,2,0.16,0.4,0.4,2.4,2.8,0.02,0.13,0.15,0.02,0.15
489,Catena,Rayo Vallecano,36.0,2,2,0.11,1.6,1.6,0.7,2.3,0.04,0.02,0.06,0.04,0.06
490,Craig Cathcart,Watford,26.6,0,1,0.04,0.1,0.1,0.3,0.5,0.0,0.01,0.02,0.0,0.02
491,Edinson Cavani,Manchester Utd,8.5,2,1,0.35,3.4,3.4,1.4,4.7,0.39,0.16,0.55,0.39,0.55
492,Dani Ceballos,Real Madrid,3.1,0,0,0.0,0.7,0.7,0.1,0.8,0.22,0.04,0.27,0.22,0.27
493,Pietro Ceccaroni,Venezia,34.7,2,1,0.09,2.1,2.1,0.3,2.4,0.06,0.01,0.07,0.06,0.07
494,Federico Ceccherini,Hellas Verona,26.2,1,0,0.04,1.8,1.8,0.7,2.6,0.07,0.03,0.1,0.07,0.1
495,Emil Ceide,Sassuolo,0.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,Zeki Çelik,Lille,30.0,2,3,0.17,1.4,1.4,2.0,3.3,0.05,0.07,0.11,0.05,0.11
497,Fabien Centonze,Metz,17.6,4,1,0.28,0.9,0.9,0.6,1.4,0.05,0.03,0.08,0.05,0.08
498,Luca Ceppitelli,Cagliari,16.1,1,1,0.12,0.6,0.6,0.0,0.6,0.04,0.0,0.04,0.04,0.04
499,Franco Cervi,Celta Vigo,20.0,4,3,0.35,2.8,2.8,1.3,4.1,0.14,0.06,0.21,0.14,0.21
500,Leonardo César Jardim,Lille,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,Damir Ceter,Cagliari,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,Julian Chabot,Köln,2.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
